ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Somatomotor	BSCMR008	BSCMR018	-0.509996	v2002	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR018	-0.322505	v2002	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR018	-0.348023	v2002	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR018	0.0862191	v2002	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR018	-0.0471513	v2002	B	B	B_B	erotic
Default	BSCMR008	BSCMR018	-0.35205	v2002	B	B	B_B	erotic
Visual	BSCMR008	BSCMR018	-0.290735	v2003	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR018	-0.182617	v2003	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR018	0.307182	v2003	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR018	-0.461691	v2003	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR018	-0.0479982	v2003	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR018	0.0410098	v2003	B	B	B_B	erotic
Default	BSCMR008	BSCMR018	-0.464393	v2003	B	B	B_B	erotic
Visual	BSCMR008	BSCMR018	0.126645	v2009	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR018	0.384422	v2009	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR018	0.371506	v2009	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR018	0.535049	v2009	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR018	0.153904	v2009	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR018	-0.103302	v2009	B	B	B_B	erotic
Default	BSCMR008	BSCMR018	-0.498663	v2009	B	B	B_B	erotic
Visual	BSCMR008	BSCMR018	-0.424832	v5000	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR018	-0.506718	v5000	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR018	-0.2184	v5000	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR018	0.104472	v5000	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR018	-0.0679634	v5000	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR018	-0.124054	v5000	B	B	B_B	neutral
Default	BSCMR008	BSCMR018	-0.276671	v5000	B	B	B_B	neutral
Visual	BSCMR008	BSCMR018	-0.269228	v5001	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR018	0.238353	v5001	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR018	-0.803472	v5001	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR018	-0.142689	v5001	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR018	-0.498057	v5001	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR018	-0.13677	v5001	B	B	B_B	neutral
Default	BSCMR008	BSCMR018	0.259555	v5001	B	B	B_B	neutral
Visual	BSCMR008	BSCMR018	0.743661	v5002	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR018	-0.524809	v5002	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR018	0.328995	v5002	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR018	0.00222853	v5002	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR018	-0.115346	v5002	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR018	-0.1597	v5002	B	B	B_B	neutral
Default	BSCMR008	BSCMR018	0.0964082	v5002	B	B	B_B	neutral
Visual	BSCMR008	BSCMR018	0.307362	v5008	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR018	0.522612	v5008	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR018	-0.159802	v5008	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR018	-0.148246	v5008	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR018	0.0614605	v5008	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR018	-0.235555	v5008	B	B	B_B	neutral
Default	BSCMR008	BSCMR018	-0.525449	v5008	B	B	B_B	neutral
Visual	BSCMR008	BSCMR019	-0.0993057	v1001	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR019	0.110223	v1001	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR019	0.249877	v1001	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR019	0.129666	v1001	B	B	B_B	horror
Limbic	BSCMR008	BSCMR019	0.0371692	v1001	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR019	-0.210592	v1001	B	B	B_B	horror
Default	BSCMR008	BSCMR019	-0.167567	v1001	B	B	B_B	horror
Visual	BSCMR008	BSCMR019	0.237568	v1002	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR019	-0.149827	v1002	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR019	-0.0228908	v1002	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR019	0.479543	v1002	B	B	B_B	horror
Limbic	BSCMR008	BSCMR019	0.147593	v1002	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR019	-0.240509	v1002	B	B	B_B	horror
Default	BSCMR008	BSCMR019	0.160476	v1002	B	B	B_B	horror
Visual	BSCMR008	BSCMR019	-0.234319	v1006	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR019	-0.359451	v1006	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR019	-0.073113	v1006	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR019	-0.466491	v1006	B	B	B_B	horror
Limbic	BSCMR008	BSCMR019	-0.0540618	v1006	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR019	-0.213967	v1006	B	B	B_B	horror
Default	BSCMR008	BSCMR019	-0.105054	v1006	B	B	B_B	horror
Visual	BSCMR008	BSCMR019	-0.0296251	v1007	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR019	-0.178612	v1007	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR019	0.33259	v1007	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR019	0.205396	v1007	B	B	B_B	horror
Limbic	BSCMR008	BSCMR019	0.0464514	v1007	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR019	0.437299	v1007	B	B	B_B	horror
Default	BSCMR008	BSCMR019	0.281587	v1007	B	B	B_B	horror
Visual	BSCMR008	BSCMR019	0.186964	v2000	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR019	0.604498	v2000	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR019	0.640238	v2000	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR019	0.331578	v2000	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR019	0.42061	v2000	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR019	-0.208722	v2000	B	B	B_B	erotic
Default	BSCMR008	BSCMR019	0.505285	v2000	B	B	B_B	erotic
Visual	BSCMR008	BSCMR019	0.661104	v2002	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR019	0.365019	v2002	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR019	0.709695	v2002	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR019	0.729916	v2002	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR019	-0.389202	v2002	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR019	0.171039	v2002	B	B	B_B	erotic
Default	BSCMR008	BSCMR019	0.116838	v2002	B	B	B_B	erotic
Visual	BSCMR008	BSCMR019	0.336084	v2009	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR019	-0.00971628	v2009	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR019	0.603797	v2009	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR019	0.155473	v2009	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR019	0.417922	v2009	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR019	0.0138304	v2009	B	B	B_B	erotic
Default	BSCMR008	BSCMR019	-0.0982629	v2009	B	B	B_B	erotic
Visual	BSCMR008	BSCMR019	0.0783374	v5000	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR019	-0.0403574	v5000	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR019	0.0248496	v5000	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR019	0.261362	v5000	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR019	-0.602026	v5000	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR019	0.222145	v5000	B	B	B_B	neutral
Default	BSCMR008	BSCMR019	-0.256885	v5000	B	B	B_B	neutral
Visual	BSCMR008	BSCMR019	0.621504	v5001	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR019	-0.22426	v5001	B	B	B_B	neutral
